ID,Preconditions,Secure Coding Guidelines,CWE-IDs,content
C28,The code unit handles handles hash values,Use hmac.compare_digest() method to securely check the value of Hash.,200,"Two types of countermeasures can be applied against timing attacks. The first one consists 
in eliminating timing variations whereas the second renders these variations useless for an attacker.
The only absolute way to prevent timing attacks is to make the computation strictly constant time;
independent of the input.

 Use hmac.compare_digest() method to securely check the value of Hash.
If this method is used; then the calculation time depends only on the length of input byte arrays;
and does not depend on the contents of the arrays. "
C29,The code unit constructs cookies,Do not use raw user input to construct cookies.,20,Do not use raw user input to construct cookies.
C30,The code unit uses regex,"Escape all meta-characters appropriately when constructing
            regular expressions for security checks;",20,"Escape all meta-characters appropriately when constructing
            regular expressions for security checks;"
C31,The code unit uses regex, Pay special attention to the . meta-character.,20," and pay special attention to the
            . meta-character."
C32,The code unit handles urls,"Parse a URL before performing a check on its host value;
            ",20,"Parse a URL before performing a check on its host value;
            "
C33,The code unit handles urls,Handle arbitrary subdomain sequences in a URL correctly.,20,"and ensure that the check handles arbitrary subdomain sequences
            correctly."
C34,The code unit handles user inputs,Write unambiguous regular expressions to verify user inputs.,20,"Avoid any confusion about which characters are included in the range by 
            writing unambiguous regular expressions.
            Always check that character ranges match only the expected characters."
C35,The code unit handles commands,"Use hard-coded string literals to specify the command to run
or the library to load. ",78,"If possible; use hard-coded string literals to specify the command to run
or the library to load. "
C36,The code unit handles commands,Verify that the user input string is safe before using it in a command.,78,"If the applicable libraries or commands cannot be determined at
compile time; then add code to verify that the user input string is
safe before using it."
C37,The code unit handles commands,Provide the dynamic arguments to the shell as an array to APIs such as subprocess.run.,78,"If possible; provide the dynamic arguments to the shell as an array 
		to APIs such as subprocess.run to avoid interpretation by the shell."
C38,The code unit handles commands,"For dynamically constructed shell commands; ensure that special characters 
do not alter the shell command unexpectedly.",78,"Alternatively; if the shell command must be constructed
		dynamically; then add code to ensure that special characters 
		do not alter the shell command unexpectedly."
C39,The code unit handles commands,Use a library routine to escape characters in the user-supplied string before passing it to a command shell.,78,"Use a library routine to escape characters in the user-supplied
string before passing it to a command shell."
C40,The code unit uses jinja environment,Avoid setting jinja2 autoescape to False.,79,"Avoid setting jinja2 autoescape to False.
Jinja2 provides the function select_autoescape to make sure that the correct auto-escaping is chosen.
For example; it can be used when creating an environment Environment(autoescape=select_autoescape(['html'; 'xml'])"
C41,The code unit constructs messages using user inputs for web pages,"Escape the input before writing user input to the page using functions such as html.escape() or flask.escape
",79,"To guard against cross-site scripting; consider escaping the input before writing user input to the page.
The standard library provides escaping functions: html.escape() for Python 3.2 upwards
or cgi.escape() older versions of Python.
Most frameworks also provide their own escaping functions; for example flask.escape()."
C42,The code unit constructs messages using HTTP parameters for web pages,Escape special characters before writing the HTTP parameter back to the page.,79,"To guard against cross-site scripting; consider escaping special
characters before writing the HTTP parameter back to the page."
C43,The code unit handles database operations,Use query parameters or prepared statements.,89,"Most database connector libraries offer a way of safely
embedding untrusted data into a query by means of query parameters
or prepared statements."
C44,The code unit handles database operations,Use a library routine to escape characters in the user-supplied string before converting it to SQL.,89,"Use a library routine to escape characters in the user-supplied
string before converting it to SQL."
C45,The code unit generates random numbers,Use a secure random generator with Python standard secrets library for Flask.,287," In Flask Consider using a secure random generator with <a href=""https://docs.python.org/3/library/secrets.html#secrets.token_hex"">Python standard secrets library"
C46,The code unit generates random numbers,"Use a secure random generator with ""get_random_secret_key()"""" method from Django",287,"In Django Consider using a secure random generator with ""get_random_secret_key()"""" method from ""django.core.management.utils""."
C47,The code unit handles LDAP connection,Use a non-empty password while establishing an LDAP connection,287,Use a non-empty password while establishing an LDAP connection
C48,The code unit opens files,Ensure that an opened file it is always closed on exiting the method.,400,"Ensure that if you open a file it is always closed on exiting the method.
Wrap the code between the open() and close()
functions in a with statement or use a try...finally
statement. Using a with statement is preferred as it is shorter
and more readable."
C49,The code unit parses data,"Disable entity expansion when parsing untrusted
data.",400,"The safest way to prevent XML bomb attacks is to disable entity expansion when parsing untrusted
data. Whether this can be done depends on the library being used. Note that some libraries; such as
lxml; have measures enabled by default to prevent such DoS XML attacks; so
unless you have explicitly set huge_tree to True; no further action is needed."
C50,The code unit parses XML data,Use the defusedxml PyPI package; to prevent XML attacks.,400,"We recommend using the <a href=""https://pypi.org/project/defusedxml/"">defusedxml</a>
PyPI package; which has been created to prevent XML attacks (both XXE and XML bombs)."
C51,The code unit handles normalization operations,Limit the size of any incoming data that would go through a costly operations; including a Windows Unicode normalization with NFKC or NFKD.,400,Ensure limiting the size of any incoming data that would go through a costly operations; including a Windows Unicode normalization with NFKC or NFKD. Such a recommandation would avoid a potential denial of service.
C52,The code unit parses serializable data,"Avoid deserialization of untrusted data where possible and use other formats instead of serialized objects;
for example JSON.",502,"Avoid deserialization of untrusted data if at all possible.  If the
architecture permits it then use other formats instead of serialized objects;
for example JSON."
C53,The code unit reads YAML data,If you need to use YAML; use the yaml.safe_load function.,502,If you need to use YAML; use the yaml.safe_load function.
C54,The code unit handles LDAP connections,Always set use_SSL to True; call start_tls_s() or set a proper option flag (ldap.OPT_X_TLS_XXXXXX).,522,Always set use_SSL to True; call start_tls_s() or set a proper option flag (ldap.OPT_X_TLS_XXXXXX).
C55,The code unit handles buffer operations,For functions such as memcpy; memset or strncpy; ensure that the size value for the operation is no greater than the amount of space available in the destination buffer.,119,When accessing buffers with functions such as memcpy; memset or strncpy; ensure that the size value for the operation is no greater than the amount of space available in the destination buffer.  Failure to do this may permit a buffer overwrite to occur.  
C56,The code unit handles buffer operations,Also ensure that the size value is no greater than the amount of data in the source buffer,119,Also ensure that the size value is no greater than the amount of data in the source buffer; to prevent a buffer overread from occurring.
C57,The code unit takes user inputs,Validate the user input.,190,Validate the user input.
C58,The code unit performs arithmetic operations,The result of an arithmetic expression should be less than; or equal to; the maximum value for the type; for example INT_MAX.,190,"Define a guard on the arithmetic expression; so that the operation is performed only if the
result can be known to be less than; or equal to; the maximum value for the type; for example INT_MAX."
C59,The code unit performs arithmetic operations,Use a wider type; so that larger input values do not cause overflow.,190,Use a wider type; so that larger input values do not cause overflow.
C60,The code unit performs arithmetic operations,Before using the variable; ensure that it is reassigned a value that does not cause an overflow; or use a wider type to do the arithmetic.,190,"Before using the variable; ensure that it is reassigned a value that does not cause an overflow;
or use a wider type to do the arithmetic."
C61,The code unit performs arithmetic operations,"Change the types of the compared values so that the value on the narrower side of the
comparison is at least as wide as the value it is being compared with.",190,"Change the types of the compared values so that the value on the narrower side of the
comparison is at least as wide as the value it is being compared with."
C62,The code unit performs arithmetic operations,"Implement a guard with the expected range for the parameter and make sure that the input value meets both the minimum and maximum
requirements for this range.",190,"Guard all integer parameters that come from an external
user. Implement a guard with the expected range for the parameter and
make sure that the input value meets both the minimum and maximum
requirements for this range. If the input value fails this guard then
reject the request before proceeding further. If the input value
passes the guard then subsequent calculations should not overflow.<"
C63,The code unit handles temporary containers,Never create an iterator to a temporary container when the iterator is expected to be used after the container's lifetime has expired.,416,Never create an iterator to a temporary container when the iterator is expected to be used after the container's lifetime has expired.
C64,The code unit handles pointers,Ensure that the pointer returned by c_str does not outlive the underlying std::string object.,416,Ensure that the pointer returned by c_str does not outlive the underlying std::string object.
C65,The code unit handles pointers,Ensure that the pointer returned by get does not outlive the underlying std::unique_ptr object.,416,Ensure that the pointer returned by get does not outlive the underlying std::unique_ptr object.
C66,The code unit handles memory,When releasing memory in a catch block; be sure that the memory was allocated and has not already been released.,476,When releasing memory in a catch block; be sure that the memory was allocated and has not already been released.
C67,"1. The code unit processes XML documents
",The code unit should disable external entity handling when parsing untrusted data,611,"The easiest way to prevent XXE attacks is to disable external entity handling when
parsing untrusted data. "
C68,"1. The code unit processes XML documents
",The code unit should use libraries such as defusedxml; libxml; rexml; nokogiri; libxml-ruby depending on the programming language.,611,"We recommend using the <a href=""https://pypi.org/project/defusedxml/"">defusedxml</a>
PyPI package; which has been created to prevent XML attacks (both XXE and XML bombs)."
C69,"1. The code unit processes XML documents
",The code unit should disable external entity handling when parsing untrusted data,611,"The easiest way to prevent XXE attacks is to disable external entity handling when
parsing untrusted data. "
C70,"1. The code unit processes XML documents
",The code unit should disable the parsing of any Document Type Declarations (DTDs) in untrsuted data.,611,"The best way to prevent XXE attacks is to disable the parsing of any Document Type Declarations (DTDs) in untrusted data.
If this is not possible you should disable the parsing of external general entities and external parameter entities.
"
